id;line_1;line_2;tag
1;mindshare Interactions Versatile;Frozen Rubber line;navigating Sports
2;needs-based Passage;Customer Cambridgeshire end-to-end;web-readiness copy
3;Chips purple;bypass microchip;Table invoice
4;Berkshire Designer the;solution policy Grove;Bike Timor-Leste grow
5;Account;Toys contextually-based Sausages;National Soap
6;calculating Shoes;HTTP grow USB;Dinar
7;quantifying;bus;National
8;Taka JBOD state;blue invoice;Administrator Borders Greece
9;Identity calculate bus;calculate;boliviano
10;time-frame;Tasty Cuban;deposit
