id;certificate_name;issuer;issue_year;expiry_year;description
1;Chicken Montserrat Handmade;Administrator implement;6004;71491;Refined Engineer Investor
2;bypassing Cotton solutions;Borders;46759;24855;Synergized
3;Paraguay;Yen Advanced;66874;64070;compressing
4;Argentina Lira Mall;mission-critical e-markets Consultant;43634;63995;Incredible
5;Awesome Pants Lodge;Fish Planner Sausages;85452;85855;transmitting
6;Sleek;Avon Analyst;57179;33645;Ohio
7;Fish cross-platform Borders;Engineer Program Pizza;44392;54550;maroon
8;Granite solutions;cyan;68574;31899;withdrawal Cheese
9;Plain;Intelligent Executive;29694;68913;Chips Investment Islands
10;Islands;Persistent orchid;47014;91857;Planner
