id;path;fileformat;filetype;tag;is_default;is_resume;is_profile_pic
1;bypass Right-sized;PPT;Cover_Letter;Manors Computers;true;true;false
2;copying Ergonomic;PDF;Other_Pic;Electronics Tunisian Cambridgeshire;true;false;true
3;Mississippi Devolved program;DOC;Resume;utilisation Home;true;false;true
4;Mozambique;PDF;Profile_Pic;Tennessee withdrawal;false;false;true
5;experiences;PDF;Other;Pound Usability Rubber;true;true;true
6;logistical;PDF;Resume;Rustic cross-platform;true;true;false
7;dedicated;PDF;Profile_Pic;up;false;false;true
8;back-end invoice focus;DOC;Profile_Pic;Pants Intelligent global;true;false;true
9;Gloves New Rubber;PPT;Other_Pic;Mouse;true;false;false
10;Solutions eyeballs;DOC;Resume;architectures regional;true;true;true
