id;pincode;country;state;city
1;57899;Denmark;productize networks calculate;New Karl
2;39393;Antigua and Barbuda;magnetic;Christiansenmouth
3;40551;Malaysia;Plastic;Portland
4;72624;Sudan;Liaison Forward;Lubbock
5;35106;Guyana;Legacy bricks-and-clicks neural;Huntington Park
6;64344;Canada;parse;North Boport
7;34856;Sri Lanka;Outdoors;East Felixland
8;17905;Tanzania;Delaware blue Fuerte;Lake Arvidmouth
9;71926;Turkmenistan;Frozen Venezuela Plastic;Lake Saigeside
10;45262;Senegal;help-desk;Roycemouth
